699K	
683	4
684p	60
775	
773	
700	
779	
11554X	20
11554	4
11555B	
11556	2
11511	30
5125	24
5125B	
16579	
17512	
16875	
12597	
12511	
12512	4
12521	4
12531	10
1351	15
1353	
14511	
14514	
14565	
12554P	15
125581	
12554	15
125542	
12547G	
12553K	
12552	15
12561	6
12562	
12563	20
12613	6
125641	
12570	
13617	
12570P	
12575	
12576	
12584	
12603	60
12588	
4341	
14522	
12591	6
11522N	40
11524	
13111CU	
16592	
16593	
125111	
11531	15
15524A	12
15521	4
17558	
17557	20
15531	
14551	
14561	
14515	
16624	12
16624X	20
13580H	
5533	4
5536	
5535	
5538	2
13513	
125972	4
5341	
115412	60
11541	
11580	
11590	
11548	12
11547	12
11540	6
14585	
14585P	40
14575P	10
14575	
12593	
14590	
14607	
13150B	
145137K	
11080F	
11080G	
11080A	
11080S	
11080	
145102	
4321	
911	
145128	
16535	
125121	
12617	
11551	
13521	
145143	
145143P15	
145142	
4131	
16540	
16553	
13556	
13556R	
13557	15
1451633	40
16510	
125131	
31090	
3344	
11561	
145168IN	
145168	
145174	
14547	
13545R	
13543	6
13553	
125142	
125143	
13560	
145182IN	
125130	
13568	
145191	
411	
13561	
125150	
125153	
125180P	
125159	
125152N	
13573	
2324	
21021	
2125	
2331	
2131	
125170	
125162	
13571	
13581	
13582	15
13588	
1800	
125191	
